,tweets,sentiment,tidy_tweets,absolute_tidy_tweets,key_phrases
0,"RT @DisneylandParis: Les Disney nuiMOs sont arrivés à Disneyland Paris ! 😍
Mettez-les en scène selon votre humeur et partagez vos plus bell…",pos,Les Disney nuiMOs sont arrivés à Disneyland Paris ! 😍 Mettez-les en scène selon votre humeur et partagez vos plus bell…,Les Disney nuiMOs sont arrivs Disneyland Paris Mettezles en scne selon votre humeur et partagez vos plus bell,"['les disney nuimos sont arrivés à disneyland paris', 'scène selon votre humeur et partagez vos']"
1,@kayabaudelaire its a good show its on disney plus,pos,@kayabaudelaire its a good show its on disney plus,kayabaudelaire good show disney plus,['good show']
2,RT @RemiPrieur: 🎁 CONCOURS 🎁 Voici un mois que @DisneylandParis  a rouvert ses portes. Pour fêter ça je vous propose de remporter ce mini c…,pos,🎁 CONCOUS 🎁 Voici un mois que @DisneylandParis a rouvert ses portes. Pour fêter ça je vous propose de remporter ce mini c…,CONCOUS Voici un mois que DisneylandParis rouvert s porte Pour fter je vous propose de remporter ce mini c,"['🎁 concous 🎁 voici un mois que', 'pour fêter ça je vous', 'de remporter ce mini c…']"
3,🏷️lf looking for affordable cheap mura premium accounts Spotify viu canva pro quillbott lightroom Lightroom presets… https://t.co/np0HBPBhhd,pos,🏷️lf looking for affordable cheap mura premium accounts Spotify viu canva pro quillbott lightroom Lightroom presets…,lf looking affordable cheap mura premium account Spotify viu canva pro quillbott lightroom Lightroom presets,['affordable cheap mura premium accounts spotify viu canva pro quillbott lightroom lightroom presets…']
4,"Now ""streaming"" on Disney Plus. https://t.co/DJ1BQQQwi4",pos,"Now ""streaming"" on Disney Plus.",Now streaming Disney Plus,['disney plus']
5,🏷️lf looking for affordable cheap mura premium accounts Spotify viu canva pro quillbott lightroom Lightroom presets… https://t.co/JIxmrpqRtn,pos,🏷️lf looking for affordable cheap mura premium accounts Spotify viu canva pro quillbott lightroom Lightroom presets…,lf looking affordable cheap mura premium account Spotify viu canva pro quillbott lightroom Lightroom presets,['affordable cheap mura premium accounts spotify viu canva pro quillbott lightroom lightroom presets…']
6,🏷️lf looking for affordable cheap mura premium accounts Spotify viu canva pro quillbott lightroom Lightroom presets… https://t.co/qNaugPE6ra,pos,🏷️lf looking for affordable cheap mura premium accounts Spotify viu canva pro quillbott lightroom Lightroom presets…,lf looking affordable cheap mura premium account Spotify viu canva pro quillbott lightroom Lightroom presets,['affordable cheap mura premium accounts spotify viu canva pro quillbott lightroom lightroom presets…']
7,🏷️lf looking for affordable cheap mura premium accounts Spotify viu canva pro quillbott lightroom Lightroom presets… https://t.co/RYEnb0ki5h,pos,🏷️lf looking for affordable cheap mura premium accounts Spotify viu canva pro quillbott lightroom Lightroom presets…,lf looking affordable cheap mura premium account Spotify viu canva pro quillbott lightroom Lightroom presets,['affordable cheap mura premium accounts spotify viu canva pro quillbott lightroom lightroom presets…']
8,"RT @loveyourapprem: 💫 JUAL APLIKASI PREMIUM 💫

✅Aman &amp; Trusted
✅100% LEGAL
✅ Bergaransi
✅ Ratusan testi on bio
✅ WA

tag. apk premium legal…",pos,💫 JUAL APLIKASI PEMIUM 💫 ✅Aman &amp; Trusted ✅100% LEGAL ✅ Bergaransi ✅ atusan testi on bio ✅ WA tag. apk premium legal…,JUAL APLIKASI PEMIUM Aman amp Trusted LEGAL Bergaransi atusan testi bio WA tag apk premium legal,"['💫 jual aplikasi pemium 💫 ✅aman', 'trusted ✅100% legal ✅ bergaransi ✅ atusan testi', 'bio ✅ wa tag', 'apk premium legal…']"
9,"RT @kerembrsnfans: Diario Trome hakkında kısa bilgi ektedir. 

Dünyanın en çok okunan ( İspanyolca)  Peru gazetesi Diario Trome, Kerem Bürs…",pos,"Diario Trome hakkında kısa bilgi ektedir. Dünyanın en çok okunan ( İspanyolca) Peru gazetesi Diario Trome, Kerem Bürs…",Diario Trome hakknda ksa bilgi ektedir Dnyann en ok okunan spanyolca Peru gazetesi Diario Trome Kerem Brs,"['diario trome hakkında kısa bilgi ektedir', 'dünyanın', 'çok okunan', 'i̇spanyolca', 'peru gazetesi diario trome', 'kerem bürs…']"
10,"RT @DisneyAPromos: Five more episodes (6-10) of 'THE OWL HOUSE' season two are coming to Disney+ on Wednesday, August 18th.

(Source: https…",pos,"Five more episodes (6-10) of 'THE OWL HOUSE' season two are coming to Disney+ on Wednesday, August 18th. (Source:",Five episode THE OWL HOUSE season two coming Disney Wednesday August th Source,"[""' owl house"", 'disney', 'wednesday', 'august 18th']"
11,‘Loki’ shakes up the status quo of the Marvel Cinematic Universe https://t.co/U5JU0I2dVm,pos,‘Loki’ shakes up the status quo of the Marvel Cinematic Universe,Loki shake status quo Marvel Cinematic Universe,"['‘ loki ’', 'marvel cinematic universe']"
12,🏷 spotify premium netflix ph affordable cheap viu crunchyroll shared spotify solo vpn iwant quizlet skillshare crun… https://t.co/3tYnWWOD1w,pos,🏷 spotify premium netflix ph affordable cheap viu crunchyroll shared spotify solo vpn iwant quizlet skillshare crun…,spotify premium netflix ph affordable cheap viu crunchyroll shared spotify solo vpn iwant quizlet skillshare crun,"['premium netflix ph affordable cheap viu crunchyroll', 'solo vpn iwant quizlet skillshare crun…']"
13,Les films d’horreurs sur Disney+ sont plus flippants que ceux sur Netflix,pos,Les films d’horreurs sur Disney+ sont plus flippants que ceux sur Netflix,Les film dhorreurs sur Disney sont plus flippants que ceux sur Netflix,"['les films d ’ horreurs sur disney', 'flippants que ceux sur netflix']"
14,"#MarvelStudios has ""great hope"" that #FlorencePugh will return as #YelenaBelova in future #MCU projects, according… https://t.co/4vnbiKn9F9",pos,"#MarvelStudios has ""great hope"" that #FlorencePugh will return as #YelenaBelova in future #MCU projects, according…",great hope return future project according,['great hope']
15,RT @illustrevor: Yall want 2D animation back? Make Treasure Planet 2 ans put it on Disney Plus.,pos,Yall want 2D animation back? Make Treasure Planet 2 ans put it on Disney Plus.,Yall want D animation back Make Treasure Planet an put Disney Plus,"['2d animation', 'treasure planet', 'disney plus']"
16,"✨DISNEY+ HOTSTAR✨
🎉Start Rp. 35.000 | 1 BULAN🎉

✅Full garansi
✅Ready
✅Testi 2.000+ cek bio

t. Jual beli wts wtb di… https://t.co/OBFyyzP7mz",pos,✨DISNEY+ HOTSTA✨ 🎉Start p. 35.000 | 1 BULAN🎉 ✅Full garansi ✅eady ✅Testi 2.000+ cek bio t. Jual beli wts wtb di…,DISNEY HOTSTA Start p BULAN Full garansi eady Testi cek bio Jual beli wts wtb di,"['hotsta✨ 🎉start p. 35.000 | 1 bulan🎉 ✅full garansi ✅eady ✅testi 2.000', 'cek bio t. jual beli wts wtb di…']"
17,"RT @IGN_es: Disney anuncia oficialmente la segunda temporada de #Loki: tendremos más episodios en Disney Plus

https://t.co/EH5SqwdQr8",pos,Disney anuncia oficialmente la segunda temporada de #Loki: tendremos más episodios en Disney Plus,Disney anuncia oficialmente la segunda temporada de tendremos m episodios en Disney Plus,"['disney anuncia oficialmente la segunda temporada de tendremos más episodios', 'disney plus']"
18,"RT @zimzalaprems: 【BUY 1 TAKE 1 PROMO】
✧ starting today until July 14, 11:30pm ✧

✦ AVAILABLE PREMIUMS ✦
→ grammarly shared
→ grammarly sol…",pos,"【BUY 1 TAKE 1 POMO】 ✧ starting today until July 14, 11:30pm ✧ ✦ AVAILABLE PEMIUMS ✦ → grammarly shared → grammarly sol…",BUY TAKE POMO starting today July pm AVAILABLE PEMIUMS grammarly shared grammarly sol,"['【buy 1 take 1 pomo】 ✧', 'july 14', '11:30pm ✧ ✦ available pemiums ✦ →']"
19,https://t.co/A5Dn4lLXjW New on Disney Plus in August 2021 https://t.co/pYy35QxkZz,pos,New on Disney Plus in August 2021,New Disney Plus August,"['new', 'disney plus', 'august 2021']"
20,RT @MCU_Direct: 3 new episodes of #MarvelStudios LEGENDS will be released on August 4 to provide an overview of characters in the WHAT IF..…,pos,3 new episodes of #MarvelStudios LEGENDS will be released on August 4 to provide an overview of characters in the WHAT IF..…,new episode LEGENDS released August provide overview character WHAT IF,['august']
21,"RT @Marvel: Who else can’t wait for Season 2 of Marvel Studios’ #Loki? As Tom Hiddleston teased, “I hope Season 1 was full of surprises. An…",pos,"Who else can’t wait for Season 2 of Marvel Studios’ #Loki? As Tom Hiddleston teased, “I hope Season 1 was full of surprises. An…",Who else cant wait Season Marvel Studios As Tom Hiddleston teased I hope Season full surprise An,"['’ t', 'marvel studios ’', 'tom hiddleston', 'hope season 1', 'an…']"
22,"RT @VIVA_VIDEOFUTUR: Rappel : l'application #VIVAbyVIDEOFUTUR est disponible sur #Android ! 
Accès sans abonnement à +15000 programmes ciné…",pos,appel : l'application #VIVAbyVIDEOFUTU est disponible sur #Android ! Accès sans abonnement à +15000 programmes ciné…,appel lapplication est disponible sur Accs sans abonnement programme cin,['accès sans abonnement à']
23,"RT @tokaymicate321: LEGIT SELLER | affordable premium accounts for sale : 

DM @tokaymicate321 to avail
Mode of Payment : GCASH / 7-11 / LO…",pos,LEGIT SELLE | affordable premium accounts for sale : DM @tokaymicate321 to avail Mode of Payment : GCASH / 7-11 / LO…,LEGIT SELLE affordable premium account sale DM tokaymicate avail Mode Payment GCASH LO,"['legit selle | affordable premium accounts', 'avail mode']"
24,"✨ PROOF OF TRANSACTION ✨

- Disney+ (12 months|Solo)

🏷 If looking for affordable/cheap premium accounts &amp; game cre… https://t.co/qHtdvFmExn",neg,✨ POOF OF TANSACTION ✨ - Disney+ (12 months|Solo) 🏷 If looking for affordable/cheap premium accounts &amp; game cre…,POOF OF TANSACTION Disney monthsSolo If looking affordablecheap premium account amp game cre,"['✨ poof', 'tansaction ✨', 'disney', 'affordable/cheap premium accounts', 'game cre…']"
25,"@umintchoco 👻 JUAL APLIKASI PREMIUM 👻

✓ Aman &amp; Trusted
✓ 100% LEGAL
✓ Bergaransi
✓ Pengerjaan cepat… https://t.co/ZVer66xJPH",pos,@umintchoco 👻 JUAL APLIKASI PEMIUM 👻 ✓ Aman &amp; Trusted ✓ 100% LEGAL ✓ Bergaransi ✓ Pengerjaan cepat…,umintchoco JUAL APLIKASI PEMIUM Aman amp Trusted LEGAL Bergaransi Pengerjaan cepat,"['umintchoco 👻 jual aplikasi pemium 👻 ✓ aman', 'trusted ✓ 100% legal ✓ bergaransi ✓ pengerjaan cepat…']"
26,🏷 spotify premium netflix ph affordable cheap viu crunchyroll shared spotify solo vpn iwant quizlet skillshare crun… https://t.co/pP1DqSmTbL,pos,🏷 spotify premium netflix ph affordable cheap viu crunchyroll shared spotify solo vpn iwant quizlet skillshare crun…,spotify premium netflix ph affordable cheap viu crunchyroll shared spotify solo vpn iwant quizlet skillshare crun,"['premium netflix ph affordable cheap viu crunchyroll', 'solo vpn iwant quizlet skillshare crun…']"
27,"RT @MCU_Direct: #MarvelStudios has ""great hope"" that #FlorencePugh will return as #YelenaBelova in future #MCU projects, according to Kevin…",pos,"#MarvelStudios has ""great hope"" that #FlorencePugh will return as #YelenaBelova in future #MCU projects, according to Kevin…",great hope return future project according Kevin,"['great hope', 'kevin…']"
28,@SpiderManBRA Imagina se soltam no Disney plus do nada,pos,@SpiderManBA Imagina se soltam no Disney plus do nada,SpiderManBA Imagina se soltam Disney plus nada,"['spidermanba imagina se soltam', 'disney']"
29,@putfai @Marvfess Tp katanya premier accses ama disney plus hotstar beda 😀,pos,@putfai @Marvfess Tp katanya premier accses ama disney plus hotstar beda 😀,putfai Marvfess Tp katanya premier acc ama disney plus hotstar beda,"['marvfess tp katanya premier accses ama disney', 'hotstar beda 😀']"
30,"🌠หาร disney plus.

💓 1เดือน50฿ 1คน/1เครื่อง

🤍เป็นการหารดันอาจจะมีประวัติทับกันบ้าง
💗ซื้อแล้วรอรับรหัสได้เลย
🎉มีรี… https://t.co/gmr68LcM1T",pos,🌠หาร disney plus. 💓 1เดือน50฿ 1คน/1เครื่อง 🤍เป็นการหารดันอาจจะมีประวัติทับกันบ้าง 💗ซื้อแล้วรอรับรหัสได้เลย 🎉มีรี…,disney plus,"['🌠หาร disney', '💓 1เดือน50฿ 1คน/1เครื่อง \U0001f90dเป็นการหารดันอาจจะมีประวัติทับกันบ้าง 💗ซื้อแล้วรอรับรหัสได้เลย 🎉มีรี…']"
31,"🌠หาร disney plus.

💓 1เดือน50฿ 1คน/1เครื่อง

🤍เป็นการหารดันอาจจะมีประวัติทับกันบ้าง
💗ซื้อแล้วรอรับรหัสได้เลย
🎉มีรี… https://t.co/SvUK16v5kT",pos,🌠หาร disney plus. 💓 1เดือน50฿ 1คน/1เครื่อง 🤍เป็นการหารดันอาจจะมีประวัติทับกันบ้าง 💗ซื้อแล้วรอรับรหัสได้เลย 🎉มีรี…,disney plus,"['🌠หาร disney', '💓 1เดือน50฿ 1คน/1เครื่อง \U0001f90dเป็นการหารดันอาจจะมีประวัติทับกันบ้าง 💗ซื้อแล้วรอรับรหัสได้เลย 🎉มีรี…']"
32,"🦋 JUAL APLIKASI PREMIUM 🦋

✓ Aman &amp; Trusted
✓ 100% LEGAL
✓ Bergaransi
✓ Pengerjaan cepat

wa 📨… https://t.co/lkkZsRUsYi",pos,🦋 JUAL APLIKASI PEMIUM 🦋 ✓ Aman &amp; Trusted ✓ 100% LEGAL ✓ Bergaransi ✓ Pengerjaan cepat wa 📨…,JUAL APLIKASI PEMIUM Aman amp Trusted LEGAL Bergaransi Pengerjaan cepat wa,"['🦋 jual aplikasi pemium 🦋 ✓ aman', 'trusted ✓ 100% legal ✓ bergaransi ✓ pengerjaan cepat wa 📨…']"
33,"🌠หาร disney plus.

💓 1เดือน50฿ 1คน/1เครื่อง

🤍เป็นการหารดันอาจจะมีประวัติทับกันบ้าง
💗ซื้อแล้วรอรับรหัสได้เลย
🎉มีรี… https://t.co/GZWtNZRPCw",pos,🌠หาร disney plus. 💓 1เดือน50฿ 1คน/1เครื่อง 🤍เป็นการหารดันอาจจะมีประวัติทับกันบ้าง 💗ซื้อแล้วรอรับรหัสได้เลย 🎉มีรี…,disney plus,"['🌠หาร disney', '💓 1เดือน50฿ 1คน/1เครื่อง \U0001f90dเป็นการหารดันอาจจะมีประวัติทับกันบ้าง 💗ซื้อแล้วรอรับรหัสได้เลย 🎉มีรี…']"
34,@TheEricGoldman They must be planning something for the character. That show is only for promoting things that will be on Disney Plus.,pos,@TheEricGoldman They must be planning something for the character. That show is only for promoting things that will be on Disney Plus.,TheEricGoldman They must planning something character That show promoting thing Disney Plus,"['planning something', 'disney plus']"
35,"@miyawakiyo lagi nyari app premium? @bulgegi punya nih, netflix, spotify indplan, disney plus, viu, wetv, canva, yo… https://t.co/juUu2VACWk",pos,"@miyawakiyo lagi nyari app premium? @bulgegi punya nih, netflix, spotify indplan, disney plus, viu, wetv, canva, yo…",miyawakiyo lagi nyari app premium bulgegi punya nih netflix spotify indplan disney plus viu wetv canva yo,"['miyawakiyo lagi nyari app premium', 'bulgegi punya nih']"
36,"All accounts are available📩

Netflixx, Spotifyy Premium Viu Premium Disney plus crunchyroll youtube prmeium quizlet… https://t.co/yYsp4sOKab",pos,"All accounts are available📩 Netflixx, Spotifyy Premium Viu Premium Disney plus crunchyroll youtube prmeium quizlet…",All account available Netflixx Spotifyy Premium Viu Premium Disney plus crunchyroll youtube prmeium quizlet,"['available📩 netflixx', 'spotifyy premium viu premium disney', 'crunchyroll youtube prmeium quizlet…']"
37,🏷️: premium ph netflix spotify famhead solo shared yt prem youtube looking for naghahanap nagbebenta seller canva g… https://t.co/2kB509usUz,pos,🏷️: premium ph netflix spotify famhead solo shared yt prem youtube looking for naghahanap nagbebenta seller canva g…,premium ph netflix spotify famhead solo shared yt prem youtube looking naghahanap nagbebenta seller canva g,"['premium ph netflix', 'famhead solo', 'yt prem youtube', 'naghahanap nagbebenta seller canva g…']"
38,🏷️: premium ph netflix spotify famhead solo shared yt prem youtube looking for naghahanap nagbebenta seller canva g… https://t.co/Tr3e97HTwV,pos,🏷️: premium ph netflix spotify famhead solo shared yt prem youtube looking for naghahanap nagbebenta seller canva g…,premium ph netflix spotify famhead solo shared yt prem youtube looking naghahanap nagbebenta seller canva g,"['premium ph netflix', 'famhead solo', 'yt prem youtube', 'naghahanap nagbebenta seller canva g…']"
39,🏷️: premium ph netflix spotify famhead solo shared yt prem youtube looking for naghahanap nagbebenta seller canva g… https://t.co/sliggAEFGY,pos,🏷️: premium ph netflix spotify famhead solo shared yt prem youtube looking for naghahanap nagbebenta seller canva g…,premium ph netflix spotify famhead solo shared yt prem youtube looking naghahanap nagbebenta seller canva g,"['premium ph netflix', 'famhead solo', 'yt prem youtube', 'naghahanap nagbebenta seller canva g…']"
40,"📌 DISNEY PLUS 

shared
1 month — ₱30

solo
1 month — ₱60

mop: gcash &amp; globe load

🏷 cheap premium account, legit o… https://t.co/KSR5R6Lha8",pos,"📌 DISNEY PLUS shared 1 month — ₱30 solo 1 month — ₱60 mop: gcash &amp; globe load 🏷 cheap premium account, legit o…",DISNEY PLUS shared month solo month mop gcash amp globe load cheap premium account legit,"['📌 disney plus', '1 month — ₱30 solo 1 month — ₱60', 'globe load 🏷 cheap premium account', 'legit o…']"
41,"Top story: Josh Gad Talks Disney Plus' Beauty and the Beast Prequel Series - Variety https://t.co/TpAbl7wbmj, see m… https://t.co/Ocy8i58SI1",pos,Top story: Josh Gad Talks Disney Plus' Beauty and the Beast Prequel Series - Variety see m…,Top story Josh Gad Talks Disney Plus Beauty Beast Prequel Series Variety see,"['top story', 'josh gad talks disney plus', ""' beauty"", 'beast prequel series', 'variety']"
42,"RT @kerembrsnfans: ULUSLARARASI BASIN || Clarin, Arjantin 

Arjantin'in tirajı en yüksek gazetesi olan Clarin ve ülkenin en çok ziyaret edi…",pos,"ULUSLAAASI BASIN || Clarin, Arjantin Arjantin'in tirajı en yüksek gazetesi olan Clarin ve ülkenin en çok ziyaret edi…",ULUSLAAASI BASIN Clarin Arjantin Arjantinin tiraj en yksek gazetesi olan Clarin lkenin en ok ziyaret edi,"['uluslaaasi basin | | clarin', 'arjantin arjantin', 'yüksek gazetesi olan clarin ve ülkenin', 'çok ziyaret edi…']"
43,Here’s When Every Episode of Loki Will Drop on Disney+ https://t.co/4av2EPWQuy,pos,Here’s When Every Episode of Loki Will Drop on Disney+,Heres When Every Episode Loki Will Drop Disney,"['episode', 'loki', 'disney']"
44,"RT @CalrissianDee: Ya disponible en la plataforma de Disney Plus el 1x12 de #TheBadBatch

"" Rescate en Ryloth"" con 29 minutos de duración.…",pos,"Ya disponible en la plataforma de Disney Plus el 1x12 de #TheBadBatch ""escate enyloth"" con 29 minutos de duración.…",Ya disponible en la plataforma de Disney Plus el x de escate enyloth con minutos de duracin,['la plataforma de disney plus el 1x12 de']
45,"@larismanies 20k yuk

lagi nyari app premium? @bulgegi punya nih, netflix, spotify indplan, disney plus, viu, wetv,… https://t.co/762Z2g5IWL",pos,"@larismanies 20k yuk lagi nyari app premium? @bulgegi punya nih, netflix, spotify indplan, disney plus, viu, wetv,…",larismanies k yuk lagi nyari app premium bulgegi punya nih netflix spotify indplan disney plus viu wetv,"['larismanies 20k yuk lagi nyari app premium', 'bulgegi punya nih']"
46,"@W0NGKH99 3k yuk

lagi nyari app premium? @bulgegi punya nih, netflix, spotify indplan, disney plus, viu, wetv, can… https://t.co/4ZGlvaccgy",pos,"@W0NGKH99 3k yuk lagi nyari app premium? @bulgegi punya nih, netflix, spotify indplan, disney plus, viu, wetv, can…",WNGKH k yuk lagi nyari app premium bulgegi punya nih netflix spotify indplan disney plus viu wetv,"['w0ngkh99 3k yuk lagi nyari app premium', 'bulgegi punya nih']"
47,"Lo que llega a Disney+ en agosto, 2021 https://t.co/ys9QXCr1oo",pos,"Lo que llega a Disney+ en agosto, 2021",Lo que llega Disney en agosto,"['lo que llega', 'disney']"
48,"@tumcyal lagi nyari app premium? @bulgegi punya nih, netflix, spotify indplan, disney plus, viu, wetv, canva, youtu… https://t.co/F7lM05nMkf",pos,"@tumcyal lagi nyari app premium? @bulgegi punya nih, netflix, spotify indplan, disney plus, viu, wetv, canva, youtu…",tumcyal lagi nyari app premium bulgegi punya nih netflix spotify indplan disney plus viu wetv canva youtu,"['tumcyal lagi nyari app premium', 'bulgegi punya nih']"
49,"@zoyaaf NETFLIX
1 hari 5k
1 minggu 13k
1 bulan sharing 40k
1 bulan private 175k
3 bulan sharing 100k

tag. jajan be… https://t.co/PfEPiFxd9o",pos,@zoyaaf NETFLIX 1 hari 5k 1 minggu 13k 1 bulan sharing 40k 1 bulan private 175k 3 bulan sharing 100k tag. jajan be…,zoyaaf NETFLIX hari k minggu k bulan sharing k bulan private k bulan sharing k tag jajan,"['zoyaaf netflix 1 hari 5k 1 minggu 13k 1 bulan', '40k 1 bulan private 175k 3 bulan', '100k tag', 'jajan be…']"
50,"🎥📺🎭🍿🍿🍿🍿  I segreti delle attrazioni Disney, su Disney+ in streaming da oggi https://t.co/VddETDW4kX @movieplayer_it… https://t.co/wvXyp5ce8v",pos,"🎥📺🎭🍿🍿🍿🍿 I segreti delle attrazioni Disney, su Disney+ in streaming da oggi @movieplayer_it…",I segreti delle attrazioni Disney su Disney streaming da oggi movieplayerit,"['segreti delle attrazioni disney', 'su disney', 'da oggi']"
51,"@chubbyblaem Aku ada nih, 1 bulan 30k 3 bulan 90k di cek yuk🤗

💫 JUAL APLIKASI PREMIUM 💫

✅Aman &amp; Trusted
✅100% LEG… https://t.co/X93tEhhEGe",pos,"@chubbyblaem Aku ada nih, 1 bulan 30k 3 bulan 90k di cek yuk🤗 💫 JUAL APLIKASI PEMIUM 💫 ✅Aman &amp; Trusted ✅100% LEG…",chubbyblaem Aku ada nih bulan k bulan k di cek yuk JUAL APLIKASI PEMIUM Aman amp Trusted LEG,"['chubbyblaem aku ada nih', '1 bulan 30k 3 bulan 90k di cek yuk🤗 💫 jual aplikasi pemium 💫 ✅aman', 'trusted ✅100% leg…']"
52,Everything New on Disney Plus in August 2021 https://t.co/40t8Oy406S https://t.co/9D7r3sHYFE,pos,Everything New on Disney Plus in August 2021,Everything New Disney Plus August,"['everything new', 'disney plus', 'august 2021']"
53,"@Iarismanis Ready kak

NETFLIX
1 hari 5k
1 minggu 13k
1 bulan sharing 40k
1 bulan private 175k
3 bulan sharing 100k… https://t.co/nKpjnnuNto",pos,@Iarismaniseady kak NETFLIX 1 hari 5k 1 minggu 13k 1 bulan sharing 40k 1 bulan private 175k 3 bulan sharing 100k…,Iarismaniseady kak NETFLIX hari k minggu k bulan sharing k bulan private k bulan sharing k,"['iarismaniseady kak netflix 1 hari 5k 1 minggu 13k 1 bulan', '40k 1 bulan private 175k 3 bulan']"
54,"- `, ritsuprems ⋆ ↷ now open for orders !!
dm me to avail premium accounts. ㅡ

UPDATED ‼
🍥; lf cheap premium accoun… https://t.co/oSVdGl4IuX",pos,"- `, ritsuprems ⋆ ↷ now open for orders !! dm me to avail premium accounts. ㅡ UPDATED ‼ 🍥; lf cheap premium accoun…",ritsuprems open order dm avail premium account UPDATED lf cheap premium accoun,"['ritsuprems ⋆ ↷', 'avail premium accounts', 'ㅡ updated ‼ 🍥', 'lf cheap premium accoun…']"
55,El retorno de Luke Skywalker en The Mandalorian tendrá un especial en Disney Plus https://t.co/lK4qvFZRDH a través de @mouse_cl,pos,El retorno de Luke Skywalker en The Mandalorian tendrá un especial en Disney Plus a través de @mouse_cl,El retorno de Luke Skywalker en The Mandalorian tendr un especial en Disney Plus travs de mousecl,"['el retorno de luke skywalker', 'mandalorian tendrá un especial', 'disney plus']"
56,"@Reza63246408 Aku jual 💁🏻‍♀️

NETFLIX
1 hari 5k
1 minggu 13k
1 bulan sharing 40k
1 bulan private 175k
3 bulan shari… https://t.co/eHrHCu4zYZ",pos,@eza63246408 Aku jual 💁🏻‍♀️ NETFLIX 1 hari 5k 1 minggu 13k 1 bulan sharing 40k 1 bulan private 175k 3 bulan shari…,eza Aku jual NETFLIX hari k minggu k bulan sharing k bulan private k bulan shari,"['eza63246408 aku jual 💁🏻\u200d♀️ netflix 1 hari 5k 1 minggu 13k 1 bulan', '40k 1 bulan private 175k 3 bulan shari…']"
57,WHY IS DISNEY PLUS SO DAMN DARK????,neg,WHY IS DISNEY PLUS SO DAMN DAK????,WHY IS DISNEY PLUS SO DAMN DAK,"['disney plus', 'damn dak']"
58,Disney Animasyon Stüdyoları'nın kısa animasyon filmlerinden oluşan koleksiyonu Short Circuit'un 2. sezonuna ilk bak… https://t.co/MiCdHZxY5H,pos,Disney Animasyon Stüdyoları'nın kısa animasyon filmlerinden oluşan koleksiyonu Short Circuit'un 2. sezonuna ilk bak…,Disney Animasyon Stdyolarnn ksa animasyon filmlerinden oluan koleksiyonu Short Circuitun sezonuna ilk bak,"['disney animasyon stüdyoları', ""' nın kısa animasyon filmlerinden oluşan koleksiyonu short circuit"", 'sezonuna ilk bak…']"
59,"@jusunmania Order di aku yuk kak 

NETFLIX
1 hari 5k
1 minggu 13k
1 bulan sharing 40k
1 bulan private 175k
3 bulan… https://t.co/DIvLviJWaU",pos,@jusunmania Order di aku yuk kak NETFLIX 1 hari 5k 1 minggu 13k 1 bulan sharing 40k 1 bulan private 175k 3 bulan…,jusunmania Order di aku yuk kak NETFLIX hari k minggu k bulan sharing k bulan private k bulan,"['jusunmania order di aku yuk kak netflix 1 hari 5k 1 minggu 13k 1 bulan', '40k 1 bulan private 175k 3 bulan…']"
60,The season premiere of Marvel Studios' What If..? headlines the content arriving on Disney+ in August. Here's every… https://t.co/Q5X4WCNhBA,pos,The season premiere of Marvel Studios' What If..? headlines the content arriving on Disney+ in August. Here's every…,The season premiere Marvel Studios What If headline content arriving Disney August Heres every,"['season premiere', 'marvel studios', 'what if.', 'disney', 'august']"
61,Percy Jackson author Rick Riordan has nothing but praise for the writers of the Disney+ series.… https://t.co/PnaW0ie9eR,pos,Percy Jackson authorickiordan has nothing but praise for the writers of the Disney+ series.…,Percy Jackson authorickiordan nothing praise writer Disney series,"['percy jackson authorickiordan', 'disney']"
62,"@belleame_v Aku jual 💁🏻‍♀️

NETFLIX
1 hari 5k
1 minggu 13k
1 bulan sharing 40k
1 bulan private 175k
3 bulan sharing… https://t.co/YPrCo8CbAW",pos,@belleame_v Aku jual 💁🏻‍♀️ NETFLIX 1 hari 5k 1 minggu 13k 1 bulan sharing 40k 1 bulan private 175k 3 bulan sharing…,belleamev Aku jual NETFLIX hari k minggu k bulan sharing k bulan private k bulan sharing,"['belleame_v aku jual 💁🏻\u200d♀️ netflix 1 hari 5k 1 minggu 13k 1 bulan', '40k 1 bulan private 175k 3 bulan sharing…']"
63,"@lilsxdaissy Disini kak 💁🏻‍♀️

NETFLIX
1 hari 5k
1 minggu 13k
1 bulan sharing 40k
1 bulan private 175k
3 bulan shar… https://t.co/F2UuvMecUk",pos,@lilsxdaissy Disini kak 💁🏻‍♀️ NETFLIX 1 hari 5k 1 minggu 13k 1 bulan sharing 40k 1 bulan private 175k 3 bulan shar…,lilsxdaissy Disini kak NETFLIX hari k minggu k bulan sharing k bulan private k bulan shar,"['lilsxdaissy disini kak 💁🏻\u200d♀️ netflix 1 hari 5k 1 minggu 13k 1 bulan', '40k 1 bulan private 175k 3 bulan shar…']"
64,"@chubbyblaem Disini kak 💁🏻‍♀️

NETFLIX
1 hari 5k
1 minggu 13k
1 bulan sharing 40k
1 bulan private 175k
3 bulan shar… https://t.co/4l5CAVBa8I",pos,@chubbyblaem Disini kak 💁🏻‍♀️ NETFLIX 1 hari 5k 1 minggu 13k 1 bulan sharing 40k 1 bulan private 175k 3 bulan shar…,chubbyblaem Disini kak NETFLIX hari k minggu k bulan sharing k bulan private k bulan shar,"['chubbyblaem disini kak 💁🏻\u200d♀️ netflix 1 hari 5k 1 minggu 13k 1 bulan', '40k 1 bulan private 175k 3 bulan shar…']"
